state_id,state_name,date,day,total_positive,positive_per_100k,positive_increase,positive_increase_per_100k,population_18_plus
AK,Alaska,2020-07-01,1,982,178.0398214525294,38,6.8895246590592,551562
AL,Alabama,2020-07-01,1,38962,1021.3167966795277,917,24.0374596415771,3814879
AR,Arkansas,2020-07-01,1,21197,914.5906045307119,420,18.1218122329999,2317649
AZ,Arizona,2020-07-01,1,84092,1491.3945794975633,4877,86.4949265591212,5638481
CA,California,2020-07-01,1,236139,771.2529356498498,7407,24.1919822407922,30617582
CO,Colorado,2020-07-01,1,33029,734.1055121368896,314,6.9789921224071,4499217
CT,Connecticut,2020-07-01,1,46572,1641.1032730094329,58,2.0438029252458,2837847
DC,Delaware,2020-07-01,1,10365,1345.7683278974593,38,4.9338346801836,770192
DE,District of Columbia,2020-07-01,1,11510,1992.7940842929390,36,6.2328920099519,577581
FL,Florida,2020-07-01,1,156434,906.9790201746216,6545,37.9468509853542,17247808
GA,Georgia,2020-07-01,1,84237,1038.2272008945045,2946,36.3096659880481,8113542
HI,Hawaii,2020-07-01,1,917,82.1681642718126,17,1.5232920312114,1116004
IA,Iowa,2020-07-01,1,29451,1212.8592484481488,444,18.2849311164639,2428229
ID,Idaho,2020-07-01,1,6117,456.8798623310508,365,27.2619175659365,1338864
IL,Illinois,2020-07-01,1,145066,1472.1615076843328,828,8.4027251620823,9853946
IN,Indiana,2020-07-01,1,45952,889.8106112316515,358,6.9322814854834,5164245
KS,Kansas,2020-07-01,1,14990,677.3414596234000,547,24.7168631363576,2213064
KY,Kentucky,2020-07-01,1,15842,457.2267044408310,218,6.2918458255335,3464802
LA,Louisiana,2020-07-01,1,60178,1689.8407374667384,2083,58.4921110064013,3561164
MA,Massachusetts,2020-07-01,1,109143,1970.1958751218251,261,4.7114439167587,5539703
MD,Maryland,2020-07-01,1,67918,1441.6918046789711,359,7.6204740699042,4710993
ME,Maine,2020-07-01,1,3294,300.7203045546254,41,3.7430274701699,1095370
MI,Michigan,2020-07-01,1,71089,906.4093952714574,361,4.6028751521754,7842924
MN,Minnesota,2020-07-01,1,36716,846.6784658045994,413,9.5238644290582,4336475
MO,Missouri,2020-07-01,1,21927,459.9899765945721,376,7.8878200939280,4766843
MS,Mississippi,2020-07-01,1,27900,1224.9919431533488,653,28.6709583827648,2277566
MT,Montana,2020-07-01,1,1016,120.9250288625192,49,5.8320141872672,840190
NC,North Carolina,2020-07-01,1,66513,812.3855172522455,1843,22.5102838286634,8187369
ND,North Dakota,2020-07-01,1,3611,620.5629576673294,39,6.7022861669969,581891
NE,Nebraska,2020-07-01,1,19177,1314.9936845743156,135,9.2571386253081,1458334
NH,New Hampshire,2020-07-01,1,5782,523.5147013286155,22,1.9919272620598,1104458
NJ,New Jersey,2020-07-01,1,171928,2476.0600102655506,261,3.7588505809368,6943612
NM,New Mexico,2020-07-01,1,12276,757.3145069898599,129,7.9580947704213,1620991
NV,Nevada,2020-07-01,1,19101,800.0361882240001,645,27.0155144445045,2387517
NY,New York,2020-07-01,1,394079,2554.7637375624479,625,4.0517950359611,15425262
